City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
383,Port-Cartier,CA,50.0334,-66.8654,55.08,47,38,12.3,scattered clouds
384,Guymon,US,36.6828,-101.4816,85.5,17,96,20.65,overcast clouds
385,Clyde,US,41.3042,-82.9752,64.9,54,14,12.46,few clouds
386,Solnechnyy,RU,50.7214,136.6319,41.88,83,100,5.21,overcast clouds
387,Faya,SA,18.3851,42.4509,66.31,51,8,4.29,clear sky
388,Mount Gambier,AU,-37.8333,140.7667,45.3,91,6,5.84,clear sky
389,Kayes,ML,14.0,-11.0,87.24,67,98,4.72,light rain
390,Leningradskiy,RU,69.3833,178.4167,23.77,79,100,9.4,overcast clouds
391,Muroto,JP,33.2833,134.15,74.35,74,2,3.31,clear sky
392,Hervey Bay,AU,-25.2986,152.8535,61.02,84,90,13.0,overcast clouds
393,Maltahohe,NA,-24.8333,16.9833,78.08,8,2,14.85,clear sky
394,Aljezur,PT,37.3191,-8.8033,64.26,71,47,13.44,scattered clouds
395,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,79,72,3.53,broken clouds
396,Lingao,CN,19.9103,109.6859,79.18,86,100,15.41,overcast clouds
397,Shitanjing,CN,39.2342,106.3439,65.55,52,99,7.74,overcast clouds
398,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,73,75,17.27,broken clouds
399,Bahia Blanca,AR,-38.7196,-62.2724,74.77,26,30,11.1,scattered clouds
400,Rexburg,US,43.826,-111.7897,57.42,43,20,5.7,few clouds
401,Ixtapa,MX,20.7,-105.2,88.23,71,43,3.0,scattered clouds
402,Manokwari,ID,-0.8667,134.0833,79.56,72,90,5.44,moderate rain
403,Paita,PE,-5.0892,-81.1144,69.46,71,15,16.22,few clouds
404,Nanortalik,GL,60.1432,-45.2371,39.11,77,38,9.08,scattered clouds
405,Abbeville,FR,50.1,1.8333,60.76,60,95,16.22,light rain
406,Marsh Harbour,BS,26.5412,-77.0636,82.4,71,45,0.72,scattered clouds
407,Pangnirtung,CA,66.1451,-65.7125,39.2,45,75,4.61,broken clouds
408,Flinders,AU,-34.5833,150.8552,55.18,89,98,5.01,overcast clouds
409,Nilakkottai,IN,10.1648,77.8529,81.34,70,100,4.74,overcast clouds
410,Port Hardy,CA,50.6996,-127.4199,53.78,100,75,3.44,mist
411,Bud,US,39.447,-86.1758,68.41,62,0,9.82,clear sky
412,Almeirim,BR,-1.5233,-52.5817,98.4,32,21,6.24,few clouds
413,Richards Bay,ZA,-28.783,32.0377,72.5,82,6,8.5,clear sky
414,Huilong,CN,31.8111,121.655,73.92,93,60,7.07,broken clouds
415,Caribou,US,46.8606,-68.012,64.02,45,0,10.36,clear sky
416,Padang,ID,-0.9492,100.3543,77.95,90,100,3.87,overcast clouds
417,Pelagiada,RU,45.2064,42.0236,69.35,59,0,4.47,clear sky
418,Hanmer Springs,NZ,-42.5167,172.8167,37.0,99,100,2.01,overcast clouds
419,Komsomolskiy,UZ,40.4272,71.7189,66.92,26,92,6.91,overcast clouds
420,Poum,NC,-20.2333,164.0167,73.65,78,82,18.3,broken clouds
421,Houma,US,29.5958,-90.7195,78.01,47,0,8.01,clear sky
422,Xining,CN,36.6167,101.7667,51.76,72,87,2.8,overcast clouds
423,Faanui,PF,-16.4833,-151.75,77.47,72,0,11.01,clear sky
424,Nyurba,RU,63.2842,118.3319,24.58,75,94,3.09,overcast clouds
425,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,5.75,few clouds
426,Portland,US,45.5234,-122.6762,62.91,85,52,3.0,broken clouds
